index	ID	商品分类	数量	成本	销售
130	0026333006434	500807	2	64	94
131	0026333006441	500806	1	35	50
132	0026333006458	500807	1	31	50
133	0026333007882	500807	1	100	155
134	0026333007905	500806	1	67	105
135	0026333007912	500806	1	67	110
136	0026333007974	500806	1	38	58
137	0026333007998	500807	1	80	125
138	0026333008001	500807	1	80	125
139	0026333008285	500806	1	205	299
140	0026333009046	500806	1	24	38
141	0026333009053	500806	1	24	45
142	0026333009183	500806	1	50	72
143	0026333009459	500804	1	20	34
144	0026333009480	500806	1	28	45
145	0026333009619	500806	1	58	85
146	0026333009664	500806	1	30	43
147	0026333009671	500807	1	14	20
148	0026333009701	500806	1	27	38
149	0026333009718	500804	1	19	28
150	0026333009732	500806	1	44	63
151	0026333009794	500804	1	19	29
152	0026333009824	500806	10	190	290
153	0026333009886	500806	1	24	35
154	0027000639641	110112	1	100	125
155	0027000650691	110113	1	102	135
156	0027000666647	110109	1	133	165
157	0027807250117	100414	1	85	94
158	0027807600103	100416	1	85	99
159	0028000288129	100444	1	133	165
160	0028400015547	100217	2	190	180
161	0028400017305	100217	1	95	129
162	0028851030090	720402	1	126	189
163	0028851030137	720402	1	155	219
164	0028851030205	720402	1	130	189
165	0028851030212	720402	1	160	239
166	0029000070295	100210	1	52	65
167	0029000070301	100210	1	52	65
168	0029000074309	100306	1	180	245
169	0029321622449	780104	1	350	449
170	0029916812187	100312	1	27	32
171	0029916815232	110336	1	124	149
172	0030986036076	720502	1	130	190
173	0030986036212	720502	1	57	99
174	0030986036298	720502	1	62	99
175	0030986037097	720504	1	75	115
176	0030986037103	720504	2	260	260
177	0030986037141	720508	2	180	180
178	0031200440006	100503	1	82	92
179	0031200440020	100503	2	164	184
180	0031200440044	100503	1	82	92
181	0031200440075	100503	2	164	156
182	0031200441058	100301	2	212	236
183	0031200441157	100301	1	106	118
184	0031200441256	100301	1	267	299
185	0031353043130	110707	1	75	99
186	0031832105908	720504	2	552	522
187	0033697235004	712201	1	1619	1890
188	0034000025510	100205	1	54	65
189	0034000052004	100405	2	152	189
190	0034000100095	100102	2	76	90
191	0034000101092	100102	1	38	45
192	0034000102112	100102	1	38	48
193	0034000154012	100102	1	54	62
194	0034000231508	100102	1	45	55
195	0034000255092	100406	1	84	109
196	0034000256006	100405	1	51	66
197	0034000256402	100405	1	51	69
198	0034000256808	100405	1	51	69
199	0034000312177	100434	1	68	81
200	0034000338108	100102	1	42	56
201	0034000338207	100102	1	42	56
202	0034000338306	100102	2	84	106
203	0034000792405	100102	1	54	65
204	0034223097165	520459	1	70	99
205	0035000553416	530104	2	82	98
206	0035496001323	720509	1	132	215
207	0035496001811	720509	1	78	114
208	0035496002108	720313	1	75	110
209	0035496003150	720504	2	112	170
210	0035496003518	720502	1	95	139
211	0035496003709	720502	1	69	99
212	0035496003877	720502	1	101	149
213	0035496005307	720502	1	81	120
214	0035496006106	720502	1	70	105
215	0035496006403	720502	1	104	149
216	0035496006601	720302	1	81	119
217	0035496006809	720502	1	66	99
218	0035496006854	730307	1	58	84
219	0035496006953	720504	1	106	148
220	0035496007479	720314	1	666	935
221	0035496007677	720502	1	147	215
222	0035496007776	720502	1	166	240
223	0036000414110	720308	1	65	92
224	0037000005926	530302	1	36	54
225	0037000067399	500203	1	75	95
226	0037000300441	530112	1	58	71
227	0037000304197	530120	1	69	99
228	0037000304593	100205	1	33	47
229	0037000323686	530403	2	360	450
230	0037000329169	100312	1	33	47
231	0037000329183	100312	1	17	22
232	0037000329206	100205	1	33	47
233	0037000332084	100312	1	17	22
234	0037000332091	100312	1	17	21
235	0037000337270	100205	1	33	47
236	0037000379010	530112	1	40	51
237	0037000440147	100312	2	66	94
238	0037000440192	100312	1	33	47
239	0037000440635	100109	1	98	109
240	0037000441809	100312	1	33	47
241	0037000442127	100312	1	33	47
242	0037000445098	100312	2	34	44
243	0037000445111	100312	1	33	47
244	0037000445333	100312	2	34	44
245	0037000632511	500203	1	70	89
246	0037000635277	500203	1	120	149
247	0037000800774	530212	1	73	99
248	0037000802068	530212	1	73	94
249	0037000913689	530301	1	87	109
250	0037000922919	530411	1	236	285
251	0037000939672	530301	1	90	125
252	0037466018928	100102	2	500	650
253	0037466080680	100102	2	500	650
254	0038000080203	100419	1	94	99
255	0038000082207	100419	1	94	139
256	0038000190100	100419	1	92	119
257	0039047001138	100205	2	120	170
258	0039047002012	100205	1	96	135
259	0039101029122	720504	1	58	85
260	0039101029405	720310	1	130	179
261	0039101029429	720310	2	66	98
262	0039101046037	720502	1	110	169
263	0039101046099	720502	1	117	175
264	0039101046105	720504	1	92	135
265	0039101046174	720504	3	237	345
266	0039101046242	720504	1	62	89
267	0039101046259	720506	1	89	135
268	0039101046266	720504	1	137	210
269	0039101046440	720502	1	81	120
270	0039101046464	720502	1	76	119
271	0039101046792	720508	2	114	170
272	0039101046846	720502	1	82	129
273	0039101046884	720516	1	58	85
274	0039101046938	720410	1	96	139
275	0039101046969	720314	1	114	108
276	0039101050126	720510	3	213	288
277	0039278618051	100426	1	80	99
278	0039725062253	730122	1	1100	1190
279	0040000015314	100102	1	38	48
280	0040000015321	100102	1	38	48
281	0040000142386	100102	1	76	105
282	0040000142393	100102	1	76	105
283	0040000757313	100102	1	69	89
284	0040000757320	100102	1	69	85
285	0040000915027	100102	1	31	45
286	0040000915409	100102	1	38	45
287	0040000951605	100104	1	40	49
288	0040508383021	760702	1	41	69
289	0040508383038	760702	1	41	69
290	0040508383045	760702	1	46	79
291	0040508383069	760702	1	51	89
292	0040508383083	760702	1	25	39
293	0040508383090	760702	1	25	39
294	0040508383113	760702	1	25	39
295	0040508761126	760162	2	38	54
296	0041143024607	100302	1	31	45
297	0041143024690	100302	1	40	49
298	0041186000415	100102	1	37	45
299	0041186001559	100102	2	74	85
300	0041186001573	100102	1	37	45
301	0041186153401	100102	1	37	45
302	0041186153593	100102	1	37	39
303	0041259211069	110513	1	84	100
304	0041259211113	110513	1	84	105
305	0041333116013	712902	1	67	95
306	0041333213019	712902	1	92	120
307	0041333214016	712902	3	192	255
308	0041333600017	712902	1	89	109
309	0041333630014	712902	1	89	115
310	0041334001134	500807	1	80	115
311	0041348001311	300424	1	58	95
312	0041419761748	100210	1	50	69
313	0041554513516	300603	1	154	235
314	0041554521191	300606	2	302	437
315	0041554522129	300105	1	30	45
316	0041554532722	300606	1	142	215
317	0041554533064	300606	1	142	215
318	0041554555349	300602	1	133	179
319	0041554555462	300602	1	133	179
320	0041554558548	300602	1	195	280
321	0041554558623	300602	1	154	235
322	0041554562422	300712	1	58	82
323	0041554568851	300609	1	120	180
324	0041554613995	300604	1	154	235
325	0041554614619	300604	1	182	275
326	0041554614671	300604	1	183	261
327	0041554615357	300604	1	183	275
328	0041554615913	300605	1	83	113
329	0041554615937	300612	1	154	223
330	0041554615968	300612	1	154	223
331	0041554616033	300605	1	83	119
332	0041554616064	300605	1	83	119
333	0041554616156	300605	1	83	119
334	0041554616187	300605	1	83	119
335	0041554616309	300605	1	83	119
336	0041554616361	300604	1	182	275
337	0041554616491	300612	1	235	355
338	0041554616507	300605	1	83	119
339	0041554616552	300612	1	235	355
340	0041554616583	300612	1	235	355
341	0041554616620	300605	1	83	119
342	0041554616682	300605	1	83	119
343	0041554617306	300604	1	182	275
344	0041554618334	300604	1	154	235
345	0041554618563	300608	1	133	189
346	0041554618587	300608	1	133	199
347	0041554618594	300608	1	133	189
348	0041554624960	300609	1	154	235
349	0041554624984	300609	1	154	235
350	0041554625004	300609	1	154	211
351	0041554626230	300604	1	154	235
352	0041554628449	300604	1	154	235
353	0041554628456	300604	1	154	235
354	0041554628487	300604	1	154	224
355	0041554628500	300604	1	154	223
356	0041554628562	300604	1	154	235
357	0041554628616	300604	1	154	235
358	0041554628630	300604	1	154	223
359	0041554628647	300604	1	154	235
360	0041554628654	300604	1	154	212
361	0041554628678	300604	1	154	223
362	0041554628708	300604	1	154	235
363	0041554641158	300604	1	182	275
364	0041554641172	300604	1	182	275
365	0041554641202	300604	1	182	275
366	0041554641509	300609	1	123	176
367	0041554641523	300609	1	123	185
368	0041554641783	300605	1	83	119
369	0041554641837	300605	1	83	119
370	0041554641844	300605	1	83	119
371	0041554641905	300605	1	83	119
372	0041554641943	300605	1	83	113
373	0041554641974	300605	1	83	119
374	0041554641981	300605	1	83	107
375	0041554641998	300605	1	83	119
376	0041554676280	300604	1	154	235
377	0041554676617	300604	1	142	215
378	0041554676662	300604	1	142	204
379	0041554676686	300604	1	142	215
380	0041554676693	300604	2	284	430
381	0041554676709	300604	1	142	215
382	0041554680218	300114	1	55	79
383	0041554680492	300612	1	241	369
384	0041554680508	300612	1	241	369
385	0041554680515	300612	1	241	369
386	0041554680539	300612	1	241	351
387	0041554680553	300612	1	241	366
388	0041554683271	300604	1	154	211
389	0041554683288	300604	1	154	223
390	0041554683295	300604	1	154	235
391	0041554683325	300604	1	154	235
392	0041554683332	300604	1	154	223
393	0041554686265	300604	1	183	275
394	0041554686272	300604	1	183	275
395	0041554687095	300604	1	183	275
396	0041554687507	300606	1	170	259
397	0041554687521	300606	1	170	259
398	0041554689907	300604	1	97	157
399	0041554689921	300604	1	97	149
400	0041554689938	300604	1	195	299
401	0041554689945	300604	1	195	299
402	0041554689952	300604	1	97	157
403	0041554689969	300604	1	97	157
404	0041554689983	300604	1	97	157
405	0041554689990	300604	1	97	157
406	0041554690002	300604	1	97	157
407	0041554690026	300604	1	97	157
408	0041554690033	300604	1	97	157
409	0041554690040	300604	1	195	284
410	0041554690057	300604	1	97	149
411	0041554690064	300604	1	97	157
412	0041554690088	300604	1	97	157
413	0041554690095	300604	1	97	149
414	0041554690101	300604	1	97	157
415	0041554690132	300604	1	97	157
416	0041554690149	300604	1	97	157
417	0041554690156	300604	1	97	149
418	0041554690163	300604	1	97	157
419	0041554692648	300606	1	170	259
420	0041554692662	300606	1	170	259
421	0041554692891	300605	1	83	107
422	0041554692907	300605	1	83	113
423	0041554692914	300605	1	83	113
424	0041554692938	300605	1	83	119
425	0041554692952	300605	1	83	113
426	0041554693591	300605	1	83	119
427	0041554693607	300605	1	83	119
428	0041554693843	300604	1	183	275
429	0041554696318	300602	1	121	189
430	0041554696332	300602	1	121	189
431	0041554696349	300602	1	121	189
432	0041554696363	300602	1	121	189
433	0041554696424	300602	1	133	200
434	0041554696431	300602	1	133	200
435	0041554696448	300602	1	133	190
436	0041554696455	300602	1	133	190
437	0041554696493	300602	1	133	191
438	0041554697803	300606	1	170	269
439	0041554697827	300606	1	170	269
440	0041554698046	300604	1	195	299
441	0041554698060	300604	1	97	157
442	0041554698077	300604	1	97	149
443	0041608874464	530104	1	50	69
444	0041736007284	110114	1	279	375
445	0041778800881	712902	1	76	99
446	0041778817414	760919	1	50	65
447	0044300067769	110136	1	63	78
448	0044300067776	110136	1	63	78
449	0044300067783	110136	2	126	156
450	0044600006291	530603	1	95	129
451	0044738018432	110703	2	60	78
452	0044738018456	110703	1	25	33
453	0044738045261	110509	1	48	64
454	0044738045360	110713	2	96	128
455	0044738072311	110707	1	33	43
456	0044738072342	110707	1	60	79
457	0044738075190	110713	1	52	69
458	0044738102346	110705	1	48	61
459	0044738102353	110705	1	48	64
460	0044738102377	110705	1	48	64
461	0044738102384	110705	1	48	64
462	0044738209519	110701	2	46	48
463	0044738209564	110701	1	23	24
464	0044900130528	100308	2	108	160
465	0044900670048	100308	2	68	100
466	0047400115002	300801	2	234	318
467	0047400115262	300801	1	86	103
468	0047400115507	300807	1	146	195
469	0047400130401	300803	1	163	209
470	0047400130609	300802	1	135	170
471	0047400130708	300802	1	138	179
472	0047400179318	300801	1	185	250
473	0047400179349	300801	1	178	239
474	0047400245105	300802	1	80	105
475	0047400247307	300802	1	80	105
476	0048001271326	110513	1	66	85
477	0048001271333	110513	1	95	114
478	0048001271340	110513	1	142	180
479	0048001271654	110513	1	66	85
480	0048011140025	730320	1	200	265
481	0050000108169	100402	1	70	81
482	0050000108176	100402	1	95	105
483	0050000108190	100402	1	63	75
484	0050000108213	100402	1	84	95
485	0050000301829	100402	1	50	59
486	0051000024237	110508	1	16	21
487	0051000036872	110508	1	32	42
488	0051000126979	110508	1	18	27
489	0051000133496	110508	2	54	68
490	0051000135568	110508	3	69	90
491	0051111060018	500555	1	43	60
492	0051131500969	500556	1	65	92
493	0051131594357	500506	1	41	58
494	0051131594449	501133	1	205	289
495	0051131641075	590204	1	91	115
496	0051131651449	500558	1	43	59
497	0051131760202	500542	1	92	129
498	0051131763364	500542	2	130	184
499	0051131763418	500542	1	65	92
500	0051135088128	720508	1	150	188
501	0051325112510	100312	1	27	33
502	0051325112527	100312	1	27	33
503	0051325113340	100312	1	27	35
504	0051685000038	110120	1	38	45
505	0051685000106	110120	1	38	43
506	0051685000625	110136	1	54	66
507	0052500058036	110129	1	60	75
508	0052500058234	110129	1	58	75
509	0052500058333	110129	1	60	75
510	0052678001001	560345	1	294	399
511	0052742652108	500804	1	305	385
512	0052742676708	500804	1	269	365
513	0052742679105	500803	2	610	478
514	0052742679709	500803	1	290	365
515	0052742817804	500804	1	290	365
516	0053100335534	530105	1	110	139
517	0056100412861	530403	1	328	399
518	0056128439314	110108	1	154	190
519	0062338055657	530205	1	38	48
520	0062338057620	530205	1	38	48
521	0062558210003	100442	1	495	416
522	0065300001515	300416	1	50	69
523	0065300001713	300711	1	43	59
524	0065300007401	300416	1	50	69
525	0065300007418	300416	1	50	69
526	0065300007531	300416	1	50	69
527	0065300007654	300702	1	91	129
528	0065300007685	300702	1	91	129
529	0065300007715	300702	1	91	129
530	0065300007739	300709	1	91	129
531	0065300008354	300610	1	68	95
532	0065300010807	300702	1	91	129
533	0065300010821	300702	1	91	129
534	0065300010920	300711	1	92	129
535	0065300010944	300711	1	92	129
536	0065300010951	300711	1	92	129
537	0065300011064	300709	1	92	129
538	0065300011088	300709	1	92	129
539	0065300011101	300709	1	92	123
540	0065300011118	300709	1	92	129
541	0065300013051	300504	1	94	129
542	0065300015086	560106	1	75	85
543	0065300050407	530110	1	80	109
544	0065300050438	530111	1	80	109
545	0065300050650	530110	1	75	99
546	0065300050667	530110	1	75	99
547	0065300051046	560103	1	71	85
548	0065300051053	560109	1	61	75
549	0065300051060	560102	1	71	85
550	0066592001405	110514	1	68	90
551	0066592001450	110514	1	68	90
552	0070177076948	100432	1	106	139
553	0070411073412	100308	1	30	45
554	0070411073436	100309	2	60	76
555	0070450020873	100301	1	75	95
556	0070450020958	100301	1	57	72
557	0070450031428	100306	1	67	85
558	0070450113285	100515	1	75	95
559	0070501012307	300704	1	193	249
560	0070501012604	300704	1	193	249
561	0070501012901	300709	1	123	110
562	0070501013007	300709	1	123	152
563	0070501013304	530117	2	116	144
564	0070501028001	530116	1	170	179
565	0070501058008	530116	1	170	179
566	0070501060902	300712	1	170	215
567	0070501062401	300709	1	263	320
568	0070501511107	300713	1	290	365
569	0070501822326	300703	1	225	285
570	0070501827031	300701	1	203	265
571	0070501852736	300709	1	311	399
572	0070501853030	300702	1	234	295
573	0070501855539	300704	1	281	350
574	0070501856154	300703	1	468	599
575	0070501856291	300709	1	132	165
576	0070501856499	300709	1	250	315
577	0070501856543	300702	1	265	318
578	0070501856628	300703	1	300	379
579	0070501856680	300709	1	461	589
580	0070950643008	510522	1	208	284
581	0070950644708	510522	1	202	289
582	0070950646009	510522	1	237	339
583	0070950647556	510522	1	140	199
584	0071099006020	530114	1	135	179
585	0071099006037	530114	1	135	179
586	0071099006044	530114	1	135	179
587	0071153003507	720502	1	158	220
588	0071153653368	720507	1	95	128
589	0071153653832	720502	1	77	110
590	0071153656765	720303	1	99	149
591	0071153657656	720506	1	129	180
592	0071153660335	720506	1	94	130
593	0071153664463	720502	1	108	150
594	0071153665323	720502	2	112	164
595	0071153666085	720502	1	50	66
596	0071153666535	720502	1	105	159
597	0071240003212	500804	1	170	217
598	0071409543641	530110	1	238	313
599	0071463010257	560339	1	82	108
600	0071463012220	560336	2	168	152
601	0071463014255	560311	1	51	75
602	0071463014385	560311	1	69	105
603	0071463016051	560307	1	36	49
604	0071463017102	560343	2	102	150
605	0071463020287	560311	1	72	94
606	0071463020430	560311	1	51	79
607	0071463021291	560517	1	72	99
608	0071463021536	560311	1	40	50
609	0071463021543	560517	1	66	99
610	0071463022502	560517	1	180	255
611	0071463032006	560304	1	102	145
612	0071463032020	560304	1	36	52
613	0071463032327	560322	2	92	124
614	0071463033027	560328	1	61	95
615	0071463033058	560328	1	36	49
616	0071463033089	560359	1	30	45
617	0071463033102	560349	1	72	99
618	0071463033140	560335	1	33	49
619	0071463033324	560322	1	39	55
620	0071463033492	560322	1	28	37
621	0071463040049	560518	1	123	175
622	0071534502001	570206	1	250	347
623	0071691095057	520226	1	81	119
624	0071691102373	520402	1	70	99
625	0071691102380	520402	1	53	78
626	0071691773016	520402	2	150	210
627	0071691773030	520402	1	65	92
628	0071691773047	520402	1	75	110
629	0071691778912	520401	2	180	264
630	0071924248052	720507	1	44	65
631	0071924248137	720507	1	141	159
632	0071924252011	720511	2	358	466
633	0071924252172	720507	1	65	79
634	0071943717218	110504	1	88	109
635	0071943747215	110504	1	88	109
636	0072944024008	530110	1	190	269
637	0073102183384	720507	1	65	89
638	0073102363540	720507	2	170	238
639	0073102364547	720507	3	255	357
640	0073319000245	720308	1	40	55
641	0073390000516	100108	2	72	90
642	0074100241762	712001	2	152	187
643	0074261160506	110117	1	100	117
644	0074570002047	120301	1	68	81
645	0074570006007	120301	1	68	90
646	0074570036004	120301	2	136	170
647	0074570146000	120301	7	476	598
648	0074570334117	120302	1	167	208
649	0074570334124	120302	2	334	438
650	0074570334148	120302	1	167	219
651	0074570334162	120302	1	167	219
652	0074570334179	120302	1	167	219
653	0074570334186	120302	1	167	219
654	0074570334223	120302	1	167	219
655	0074570334230	120302	1	167	219
656	0074570444007	120302	1	167	219
657	0074570444045	120302	1	167	219
658	0074570464005	120302	1	167	208
659	0074570535248	120302	1	167	219
660	0074570703050	120302	1	167	208
661	0074570703074	120302	1	167	219
662	0074570703593	120302	2	334	300
663	0074603003102	110401	2	152	196
664	0074603003171	110401	1	76	97
665	0074603003287	110401	1	76	98
666	0074804004052	720509	1	86	120
667	0075272068140	520102	1	63	92
668	0075272068164	520102	1	79	116
669	0075272068195	520102	1	104	144
670	0075272068256	520102	1	115	168
671	0075272068348	520102	2	142	210
672	0075272068362	520102	1	84	125
673	0075272068386	520102	1	94	131
674	0075272068515	520102	2	142	210
675	0075272068539	520102	1	89	130
676	0075272068553	520102	1	115	168
677	0075531037917	520320	1	35	39
678	0075609001659	300703	1	443	689
679	0075847490918	720501	1	110	155
680	0076150215281	110218	2	42	54
681	0076150430530	110218	2	42	54
682	0076174643022	730103	1	54	69
683	0076174644548	730103	1	115	150
684	0076174660395	730103	1	76	99
685	0076174841060	730105	1	84	110
686	0076174841077	730105	1	96	126
687	0076174841213	730105	1	125	164
688	0076174841312	730105	1	110	145
689	0076174841398	730105	1	156	199
690	0076277105618	110810	1	18	18
691	0076277105625	110810	1	18	18
692	0076277105663	110810	1	18	18
693	0076277105694	110810	1	10	14
694	0076277108893	110810	2	36	48
695	0076277108947	110810	1	18	18
696	0076277109203	110810	1	18	18
697	0076277109326	110810	1	18	18
698	0076277109364	110810	2	36	36
699	0076277109609	110810	2	50	66
700	0076828000751	530114	1	76	109
701	0076828000799	530114	1	76	109
702	0076874006646	520437	1	34	39
703	0076906030038	720508	1	157	220
704	0077043100400	300704	1	124	162
705	0077043102343	300702	1	86	119
706	0077330012591	100217	1	38	49
707	0077805110012	500804	4	1360	1476
708	0077914006022	760505	1	143	199
709	0078334034183	100417	1	59	75
710	0078698134819	720502	1	44	64
711	0078698703015	720317	1	55	79
712	0078722074425	130109	1	71	100
713	0078722074494	130109	1	71	100
714	0078722075415	130109	1	71	100
715	0078895100020	110137	2	248	234
716	0078895100822	110804	1	63	78
717	0078895120295	110136	2	34	44
718	0078895120301	110136	2	34	44
719	0078895120318	110136	1	17	22
720	0078895120332	110136	1	17	22
721	0078895120356	110136	5	85	110
722	0078895120677	110137	1	275	325
723	0078895121247	110137	1	78	95
724	0078895121254	110137	1	123	155
725	0078895121612	110136	3	51	66
726	0078895121896	110136	2	34	44
727	0078895121933	110136	1	17	22
728	0078895122008	110136	1	17	22
729	0078895122046	110136	1	17	22
730	0078895122237	110333	3	726	897
731	0078895123012	110122	1	47	60
732	0078895124002	110333	1	242	299
733	0078895300024	110137	1	66	82
734	0078895390025	110333	1	750	853
735	0078895390032	110333	1	750	898
736	0078895400014	110136	2	170	210
737	0078895406559	110333	1	388	469
738	0078895406986	110137	1	407	500
739	0078895423037	110117	1	66	85
740	0078895610024	110136	1	53	66
741	0078895700015	110136	1	43	54
742	0078895720051	110136	1	55	65
743	0078895730074	110122	1	54	75
744	0078895740042	110125	1	44	52
745	0078895743050	110122	1	57	72
746	0078895760026	110136	1	54	75
747	0078895770025	110122	1	54	75
748	0078895800319	110136	1	60	75
749	0078895941593	110136	1	53	63
750	0079100015184	500803	1	145	199
751	0079191000724	720507	1	156	159
752	0079191001127	720507	3	174	225
753	0079191001226	720507	1	54	71
754	0079191006092	720512	1	100	139
755	0079191007211	720507	1	110	189
756	0079298300086	300709	1	72	99
757	0079763111254	110404	1	36	45
758	0079763111315	110404	1	72	85
759	0079763111339	110404	1	72	89
760	0079763111407	110406	1	28	35
761	0079763112275	110404	1	25	30
762	0079763251134	110404	2	138	172
763	0079763251141	110401	1	69	86
764	0079763251158	110401	1	69	86
765	0079763251226	110404	1	69	82
766	0079801994665	520320	1	35	39
767	0080576080590	540109	3	69	105
768	0080660956053	100516	1	190	215
769	0081824141261	110509	1	30	22
770	0081824201262	110509	1	49	60
771	0081824202016	110509	1	49	57
772	0081824202023	110509	1	49	60
773	0081824202092	110509	2	98	120
774	0081900020015	100205	1	103	132
775	0082228266017	560517	1	137	199
776	0082228266031	560517	1	148	210
777	0082228266055	560517	1	137	199
778	0082228266079	560517	1	137	199
779	0082228266086	560517	1	91	130
780	0082228266093	560517	1	91	123
781	0082228266109	560517	1	91	130
782	0082228266116	560517	1	91	130
783	0082228266123	560517	1	137	199
784	0082228266192	560517	1	91	124
785	0082228266208	560517	4	272	396
786	0082228266215	560517	1	68	99
787	0082228266239	560517	1	68	99
788	0082228266246	560517	1	200	290
789	0082228266253	560517	1	200	290
790	0082228266284	560517	1	200	290
791	0082228266291	560517	1	200	290
792	0082228266321	560517	2	296	420
793	0082228266338	560517	1	148	210
794	0082228266369	560517	1	148	199
795	0082228281034	550508	1	65	95
796	0082984258004	300501	1	142	189
797	0082984258011	300501	1	142	199
798	0082984258042	300501	1	190	299
799	0082984258059	300501	1	142	179
800	0082984258110	300501	1	142	199
801	0082984258189	300501	1	142	199
802	0082984258257	300501	1	142	179
803	0082984258660	300501	1	142	179
804	0082984258820	300501	1	142	199
805	0082984258837	300501	1	190	299
806	0083800003808	300706	1	332	499
807	0083851204315	100608	2	1106	988
808	0084501106614	100215	1	86	115
809	0084501112318	100217	1	38	49
810	0084501193317	100217	1	38	46
811	0084501214319	100205	1	60	75
812	0084501238520	100201	1	14	19
813	0084501278526	100201	1	14	19
814	0084501293529	100201	1	13	19
815	0084501297329	100201	1	13	19
816	0084501561321	100201	1	15	22
817	0084501824327	100205	1	60	71
818	0084501846329	100217	1	33	42
819	0084501861728	100205	1	64	89
820	0084902762013	720402	1	200	275
