index	ID	年龄	区域
318	00043472  	D 	E 
319	00043502  	D 	E 
320	00043748  	J 	E 
321	00043816  	C 	E 
322	00043830  	G 	F 
323	00043854  	C 	C 
324	00043861  	B 	E 
325	00043915  	J 	E 
326	00043991  	J 	H 
327	00044073  	E 	E 
328	00044356  	E 	H 
329	00044363  	E 	F 
330	00044431  	F 	C 
331	00044547  	G 	F 
332	00044608  	F 	E 
333	00044721  	E 	F 
334	00044875  	D 	F 
335	00044882  	H 	E 
336	00045278  	D 	E 
337	00045308  	B 	E 
338	00045353  	F 	D 
339	00045377  	G 	E 
340	00045506  	J 	E 
341	00045551  	F 	E 
342	00045605  	B 	E 
343	00045674  	B 	F 
344	00045704  	B 	E 
345	00045711  	C 	F 
346	00045735  	C 	E 
347	00045902  	H 	E 
348	00045919  	C 	F 
349	00045957  	G 	E 
350	00045964  	C 	E 
351	00045971  	C 	E 
352	00045995  	C 	E 
353	00046015  	F 	F 
354	00046022  	G 	E 
355	00046039  	D 	F 
356	00046046  	B 	E 
357	00046053  	G 	E 
358	00046145  	D 	E 
359	00046183  	E 	G 
360	00046350  	G 	F 
361	00046466  	G 	F 
362	00046633  	C 	E 
363	00046855  	D 	E 
364	00046909  	F 	E 
365	00046916  	H 	F 
366	00046923  	B 	H 
367	00046985  	E 	E 
368	00046992  	C 	E 
369	00047067  	D 	F 
370	00047197  	C 	E 
371	00047241  	J 	E 
372	00047319  	B 	A 
373	00047340  	F 	F 
374	00047364  	D 	F 
375	00047388  	B 	E 
376	00047395  	F 	E 
377	00047487  	C 	H 
378	00047531  	D 	F 
379	00047548  	C 	E 
380	00047654  	G 	E 
381	00047692  	B 	E 
382	00047722  	G 	E 
383	00047784  	B 	E 
384	00047814  	H 	E 
385	00047951  	D 	E 
386	00048019  	G 	F 
387	00048057  	C 	F 
388	00048064  	F 	E 
389	00048101  	G 	E 
390	00048149  	J 	E 
391	00048217  	D 	E 
392	00048224  	C 	A 
393	00048231  	E 	G 
394	00048286  	G 	F 
395	00048309  	F 	G 
396	00048491  	B 	F 
397	00048590  	G 	F 
398	00048668  	D 	E 
399	00048866  	F 	E 
400	00048910  	F 	E 
401	00049047  	G 	E 
402	00049061  	H 	F 
403	00049108  	D 	E 
404	00049122  	D 	F 
405	00049306  	D 	E 
406	00049368  	E 	H 
407	00049405  	F 	C 
408	00049597  	E 	E 
409	00049627  	F 	F 
410	00049641  	G 	C 
411	00049795  	D 	E 
412	00050067  	C 	F 
413	00050081  	C 	E 
414	00050111  	J 	E 
415	00050142  	C 	E 
416	00050449  	I 	E 
417	00050494  	I 	E 
418	00050500  	K 	F 
419	00050548  	E 	E 
420	00050579  	J 	F 
421	00050593  	F 	A 
422	00050715  	J 	F 
423	00050807  	F 	H 
424	00050821  	B 	F 
425	00050852  	E 	E 
426	00050920  	C 	F 
427	00050951  	E 	E 
428	00050968  	F 	E 
429	00050982  	E 	F 
430	00051040  	C 	F 
431	00051057  	I 	F 
432	00051347  	E 	D 
433	00051392  	I 	E 
434	00051590  	G 	B 
435	00051781  	D 	E 
436	00052078  	G 	E 
437	00052283  	F 	C 
438	00052498  	H 	E 
439	00052559  	G 	E 
440	00052627  	C 	D 
441	00052849  	D 	B 
442	00052900  	C 	E 
443	00052917  	C 	F 
444	00052962  	C 	E 
445	00052979  	G 	E 
446	00053488  	I 	E 
447	00053518  	B 	E 
448	00053617  	D 	E 
449	00053938  	B 	E 
450	00054249  	J 	E 
451	00054256  	F 	E 
452	00054362  	F 	E 
453	00054454  	D 	C 
454	00054522  	J 	C 
455	00054584  	C 	E 
456	00054591  	C 	E 
457	00055024  	H 	E 
458	00055079  	H 	E 
459	00055130  	F 	E 
460	00055291  	D 	F 
461	00055406  	F 	E 
462	00055444  	B 	F 
463	00056106  	D 	F 
464	00056144  	F 	E 
465	00056168  	D 	F 
466	00056243  	D 	E 
467	00056540  	D 	E 
468	00056564  	E 	E 
469	00056588  	B 	E 
470	00056595  	E 	F 
471	00056601  	F 	E 
472	00056915  	C 	E 
473	00056922  	C 	E 
474	00057011  	D 	F 
475	00057028  	D 	F 
476	00057127  	C 	E 
477	00057141  	I 	E 
478	00057172  	E 	F 
479	00057271  	K 	E 
480	00057288  	E 	E 
481	00057486  	E 	E 
482	00057493  	F 	F 
483	00057509  	E 	E 
484	00057547  	C 	F 
485	00057615  	C 	E 
486	00057677  	F 	E 
487	00057707  	F 	E 
488	00057738  	G 	E 
489	00057783  	J 	E 
490	00057806  	B 	E 
491	00057851  	G 	E 
492	00057882  	C 	E 
493	00058032  	D 	E 
494	00058148  	C 	E 
495	00058230  	H 	E 
496	00058278  	E 	F 
497	00058452  	D 	E 
498	00058490  	C 	F 
499	00058537  	H 	E 
500	00058551  	F 	E 
501	00058568  	D 	E 
502	00058698  	D 	E 
503	00058759  	F 	E 
504	00058766  	F 	F 
505	00058773  	G 	E 
506	00058780  	G 	E 
507	00058827  	J 	E 
508	00058865  	F 	H 
509	00059138  	C 	G 
510	00059152  	D 	D 
511	00059206  	B 	E 
512	00059282  	E 	C 
513	00059343  	D 	E 
514	00059398  	E 	F 
515	00059411  	F 	F 
516	00059497  	D 	E 
517	00059527  	C 	E 
518	00059725  	B 	E 
519	00059831  	B 	F 
520	00059848  	C 	F 
521	00059992  	F 	E 
522	00060172  	D 	E 
523	00060264  	C 	E 
524	00060400  	E 	E 
525	00060554  	D 	E 
526	00060592  	C 	E 
527	00060615  	C 	D 
528	00060776  	I 	G 
529	00061681  	D 	E 
530	00061704  	E 	F 
531	00061728  	G 	E 
532	00061742  	F 	E 
533	00061766  	I 	F 
534	00061773  	F 	G 
535	00062107  	E 	E 
536	00062299  	B 	E 
537	00062626  	E 	B 
538	00062817  	E 	H 
539	00062824  	F 	H 
540	00063111  	H 	E 
541	00063227  	G 	E 
542	00063326  	D 	E 
543	00063449  	F 	E 
544	00063890  	G 	A 
545	00064033  	F 	D 
546	00064156  	F 	F 
547	00064170  	G 	F 
548	00064217  	G 	F 
549	00064439  	D 	G 
550	00064477  	C 	H 
551	00064637  	C 	F 
552	00064811  	C 	G 
553	00064873  	F 	B 
554	00064897  	G 	F 
555	00065191  	E 	D 
556	00065245  	H 	E 
557	00065283  	E 	E 
558	00065818  	I 	A 
559	00065931  	E 	E 
560	00066020  	C 	E 
561	00066037  	F 	C 
562	00066211  	E 	D 
563	00066259  	F 	E 
564	00066433  	E 	E 
565	00066495  	F 	H 
566	00066594  	E 	E 
567	00066662  	C 	E 
568	00066693  	B 	F 
569	00066730  	D 	D 
570	00066761  	D 	E 
571	00066860  	I 	D 
572	00066921  	H 	D 
573	00067577  	E 	D 
574	00067843  	G 	H 
575	00067942  	C 	C 
576	00068024  	H 	G 
577	00068079  	E 	E 
578	00068086  	I 	C 
579	00068192  	F 	E 
580	00068321  	F 	E 
581	00068383  	F 	E 
582	00068468  	D 	D 
583	00068543  	F 	E 
584	00068581  	B 	E 
585	00068604  	F 	E 
586	00068956  	F 	F 
587	00069137  	D 	E 
588	00069908  	C 	E 
589	00069946  	E 	G 
590	00069953  	F 	E 
591	00070010  	F 	C 
592	00070102  	E 	F 
593	00070195  	D 	C 
594	00070232  	D 	E 
595	00070249  	E 	E 
596	00070522  	E 	D 
597	00070560  	F 	F 
598	00070584  	F 	F 
599	00070591  	F 	F 
600	00070607  	E 	F 
601	00070621  	F 	F 
602	00070669  	D 	E 
603	00070775  	G 	H 
604	00070799  	B 	E 
605	00070805  	B 	E 
606	00070928  	H 	H 
607	00070973  	A 	E 
608	00070980  	F 	E 
609	00071062  	D 	F 
610	00071093  	C 	E 
611	00071178  	D 	E 
612	00071284  	E 	E 
613	00071345  	D 	E 
614	00071390  	H 	E 
615	00071987  	E 	E 
616	00072045  	C 	E 
617	00072083  	D 	D 
618	00072144  	C 	E 
619	00072281  	C 	E 
620	00072304  	D 	E 
621	00072335  	D 	F 
622	00072533  	D 	E 
623	00072892  	E 	D 
624	00073011  	B 	E 
625	00073080  	D 	C 
626	00073639  	E 	E 
627	00073813  	D 	F 
628	00073837  	H 	E 
629	00073868  	C 	F 
630	00074209  	E 	A 
631	00074216  	H 	B 
632	00074315  	F 	H 
633	00074353  	F 	H 
634	00074377  	G 	E 
635	00074438  	F 	C 
636	00074445  	E 	E 
637	00074469  	E 	E 
638	00074520  	I 	E 
639	00074568  	G 	H 
640	00074612  	D 	G 
641	00074629  	J 	E 
642	00074650  	E 	E 
643	00074674  	E 	E 
644	00074681  	D 	D 
645	00074704  	F 	E 
646	00074711  	G 	E 
647	00074797  	F 	E 
648	00074803  	F 	H 
649	00074872  	E 	E 
650	00074889  	J 	E 
651	00074902  	G 	E 
652	00074940  	J 	E 
653	00075008  	F 	E 
654	00075091  	D 	E 
655	00075114  	I 	E 
656	00075138  	H 	A 
657	00075169  	J 	H 
658	00075275  	F 	E 
659	00075305  	F 	E 
660	00075343  	E 	E 
661	00075367  	J 	E 
662	00075374  	I 	E 
663	00075404  	I 	E 
664	00075435  	G 	E 
665	00075459  	C 	F 
666	00075480  	E 	E 
667	00075565  	H 	H 
668	00075602  	D 	E 
669	00075657  	I 	E 
670	00075664  	J 	E 
671	00075787  	G 	E 
672	00075800  	F 	E 
673	00075879  	B 	E 
674	00075930  	G 	E 
675	00075954  	I 	E 
676	00075985  	D 	F 
677	00076036  	F 	E 
678	00076043  	D 	H 
679	00076050  	F 	E 
680	00076180  	C 	E 
681	00076227  	F 	E 
682	00076319  	G 	E 
683	00076357  	I 	H 
684	00076371  	C 	F 
685	00076418  	F 	E 
686	00076623  	D 	F 
687	00076630  	I 	E 
688	00076647  	D 	H 
689	00076654  	I 	F 
690	00077071  	F 	B 
691	00077118  	B 	E 
692	00077279  	I 	C 
693	00078436  	E 	E 
694	00078641  	D 	G 
695	00078771  	D 	F 
696	00079495  	C 	F 
697	00079709  	J 	B 
698	00079792  	H 	F 
699	00080026  	E 	E 
700	00080057  	E 	A 
701	00080613  	K 	G 
702	00080644  	E 	E 
703	00080729  	F 	G 
704	00080842  	F 	E 
705	00080897  	E 	E 
706	00081054  	H 	F 
707	00081108  	D 	E 
708	00081122  	J 	E 
709	00081214  	F 	F 
710	00081252  	I 	E 
711	00081269  	E 	E 
712	00081344  	C 	E 
713	00081375  	J 	E 
714	00081412  	F 	E 
715	00081467  	E 	D 
716	00081757  	D 	E 
717	00081894  	G 	E 
718	00081924  	E 	E 
719	00081979  	D 	E 
720	00081986  	E 	E 
721	00082044  	F 	G 
722	00082075  	F 	E 
723	00082099  	F 	E 
724	00082174  	J 	E 
725	00082228  	K 	E 
726	00082372  	E 	C 
727	00082389  	F 	E 
728	00082426  	F 	E 
729	00082464  	G 	G 
730	00082488  	E 	E 
731	00082723  	E 	E 
732	00082990  	D 	E 
733	00083010  	D 	E 
734	00083089  	H 	C 
735	00083096  	D 	C 
736	00083102  	H 	E 
737	00083140  	J 	E 
738	00083188  	F 	E 
739	00083201  	D 	E 
740	00083249  	D 	F 
741	00083355  	F 	F 
742	00083638  	G 	E 
743	00083720  	F 	H 
744	00083768  	G 	F 
745	00083775  	G 	F 
746	00084185  	B 	F 
747	00084208  	C 	F 
748	00084253  	F 	E 
749	00084277  	F 	E 
750	00084307  	B 	F 
751	00084451  	D 	F 
752	00084550  	D 	F 
753	00084659  	E 	D 
754	00084697  	J 	E 
755	00084819  	F 	F 
756	00085045  	F 	D 
757	00085137  	K 	E 
758	00085168  	D 	E 
759	00085175  	E 	F 
760	00085229  	E 	F 
761	00085267  	E 	B 
762	00085335  	E 	F 
763	00085373  	F 	B 
764	00085434  	H 	E 
765	00085816  	C 	C 
766	00086059  	E 	E 
767	00086240  	C 	E 
768	00086325  	B 	G 
769	00086356  	E 	E 
770	00086370  	C 	E 
771	00086394  	G 	E 
772	00086400  	B 	E 
773	00086806  	B 	F 
774	00086882  	C 	E 
775	00086981  	B 	F 
776	00087001  	D 	C 
777	00087018  	D 	F 
778	00087049  	D 	F 
779	00087063  	D 	E 
780	00087162  	B 	E 
781	00087230  	D 	E 
782	00087377  	E 	E 
783	00087858  	D 	E 
784	00088008  	E 	D 
785	00088039  	J 	E 
786	00088183  	D 	H 
787	00088343  	E 	H 
788	00088404  	B 	F 
789	00088435  	D 	E 
790	00088442  	E 	G 
791	00088541  	D 	B 
792	00088848  	D 	F 
793	00088954  	J 	E 
794	00089081  	F 	E 
795	00089203  	I 	E 
796	00089319  	F 	C 
797	00089418  	I 	F 
798	00089456  	E 	H 
799	00089470  	B 	H 
800	00089517  	J 	E 
801	00089562  	E 	E 
802	00089609  	C 	F 
803	00089685  	H 	E 
804	00089708  	F 	G 
805	00089715  	G 	E 
806	00089739  	F 	E 
807	00089951  	D 	D 
808	00089975  	E 	F 
809	00089982  	J 	E 
810	00090131  	E 	F 
811	00090629  	F 	F 
812	00090643  	E 	E 
813	00090940  	D 	D 
814	00091022  	D 	E 
815	00091138  	C 	G 
816	00091206  	E 	E 
817	00091343  	D 	E 
818	00091473  	F 	E 
819	00091480  	C 	D 
820	00091497  	D 	E 
821	00091527  	D 	F 
822	00091626  	D 	E 
823	00091763  	F 	G 
824	00092043  	F 	E 
825	00093842  	B 	F 
826	00094542  	F 	E 
827	00094832  	J 	D 
828	00094931  	I 	E 
829	00095013  	G 	B 
830	00095112  	K 	E 
831	00095334  	G 	F 
832	00095341  	E 	F 
833	00095365  	F 	F 
834	00095518  	H 	H 
835	00095549  	I 	E 
836	00095563  	E 	E 
837	00095693  	H 	E 
838	00095808  	E 	E 
839	00095877  	E 	E 
840	00095907  	D 	E 
841	00095921  	D 	E 
842	00096232  	J 	E 
843	00096348  	C 	E 
844	00096508  	D 	D 
845	00096874  	I 	E 
846	00097079  	I 	E 
847	00097093  	I 	E 
848	00097178  	G 	G 
849	00097215  	I 	H 
850	00097390  	G 	E 
851	00097420  	E 	F 
852	00097666  	D 	B 
853	00098137  	D 	E 
854	00098274  	F 	H 
855	00098328  	G 	H 
856	00098380  	E 	E 
857	00098441  	G 	E 
858	00098779  	C 	E 
859	00098823  	D 	A 
860	00098946  	E 	E 
861	00099004  	F 	G 
862	00099080  	J 	E 
863	00099202  	J 	E 
864	00099295  	G 	E 
865	00099394  	C 	F 
866	00099417  	J 	E 
867	00099448  	D 	A 
868	00099509  	H 	G 
869	00099653  	D 	G 
870	00099721  	F 	E 
871	00099790  	I 	E 
872	00099813  	E 	C 
873	00099851  	H 	E 
874	00100021  	C 	E 
875	00100120  	H 	E 
876	00100144  	E 	F 
877	00100175  	G 	E 
878	00100199  	G 	E 
879	00100236  	J 	G 
880	00100410  	G 	D 
881	00100465  	J 	E 
882	00100496  	E 	F 
883	00100519  	C 	C 
884	00100588  	E 	H 
885	00100625  	F 	E 
886	00100786  	F 	D 
887	00100854  	F 	F 
888	00100861  	H 	E 
889	00100915  	G 	E 
890	00100946  	H 	E 
891	00100960  	B 	E 
892	00100991  	E 	E 
893	00101042  	F 	E 
894	00101066  	E 	E 
895	00101172  	D 	F 
896	00101332  	D 	H 
897	00101585  	D 	F 
898	00101868  	E 	E 
899	00101981  	F 	E 
900	00101998  	E 	E 
901	00102032  	D 	E 
902	00102070  	C 	F 
903	00102100  	E 	E 
904	00102131  	F 	F 
905	00102216  	F 	E 
906	00102292  	D 	F 
907	00102308  	I 	H 
908	00102438  	F 	F 
909	00102537  	J 	E 
910	00102599  	B 	E 
911	00102650  	C 	E 
912	00102674  	D 	E 
913	00102728  	D 	D 
914	00102803  	F 	G 
915	00103015  	I 	E 
916	00103046  	H 	E 
917	00103053  	C 	E 
918	00103060  	H 	E 
919	00103077  	D 	E 
920	00103114  	G 	D 
921	00103176  	E 	E 
922	00103220  	E 	D 
923	00103251  	C 	G 
924	00103305  	E 	F 
925	00103350  	F 	E 
926	00103374  	G 	C 
927	00103442  	D 	G 
928	00103541  	I 	E 
929	00103565  	I 	C 
930	00103589  	J 	H 
931	00103619  	J 	E 
932	00103718  	I 	E 
933	00103763  	G 	D 
934	00103800  	F 	D 
935	00104036  	D 	D 
936	00104043  	E 	E 
937	00104111  	C 	C 
938	00104395  	E 	E 
939	00104418  	I 	E 
940	00104470  	D 	D 
941	00105002  	E 	E 
942	00105286  	H 	E 
943	00105347  	G 	E 
944	00105408  	F 	E 
945	00106276  	G 	F 
946	00106412  	F 	E 
947	00106672  	G 	F 
948	00106849  	D 	H 
949	00107334  	D 	F 
950	00107426  	G 	F 
951	00107587  	E 	E 
952	00107655  	D 	F 
953	00107679  	C 	F 
954	00107839  	B 	F 
955	00107976  	G 	F 
956	00108300  	H 	F 
957	00108447  	C 	E 
958	00108782  	D 	G 
959	00108843  	E 	G 
960	00108973  	F 	G 
961	00109567  	I 	A 
962	00109598  	G 	E 
963	00109628  	H 	E 
964	00109697  	C 	E 
965	00110839  	D 	F 
966	00110860  	D 	E 
967	00110969  	D 	F 
968	00110990  	C 	F 
969	00111089  	E 	F 
970	00111508  	D 	F 
971	00111683  	D 	C 
972	00112642  	J 	E 
973	00112796  	I 	A 
974	00112826  	D 	A 
975	00112857  	F 	E 
976	00113151  	E 	C 
977	00113267  	F 	C 
978	00113397  	E 	F 
979	00113724  	C 	E 
980	00114295  	B 	F 
981	00115810  	E 	B 
982	00116121  	D 	A 
983	00116169  	I 	C 
984	00116206  	D 	H 
985	00116350  	F 	F 
986	00116633  	C 	F 
987	00116756  	F 	E 
988	00116770  	F 	E 
989	00116893  	H 	E 
990	00116947  	F 	E 
991	00116985  	J 	E 
992	00117029  	J 	E 
993	00117173  	J 	E 
994	00117227  	C 	E 
995	00117364  	H 	E 
996	00117586  	G 	A 
997	00117593  	D 	F 
998	00117968  	G 	F 
999	00118118  	E 	E 
1000	00118170  	H 	E 
1001	00118194  	E 	F 
1002	00118200  	G 	E 
1003	00118668  	F 	E 
1004	00118712  	A 	F 
1005	00118743  	F 	C 
1006	00118798  	B 	H 
1007	00118811  	B 	H 
1008	00118910  	I 	E 
1009	00118996  	D 	C 
1010	00119047  	J 	C 
1011	00119115  	C 	C 
1012	00119221  	J 	E 
1013	00119252  	I 	E 
1014	00119283  	J 	E 
1015	00119559  	J 	F 
1016	00119627  	I 	C 
1017	00119634  	F 	F 
1018	00119672  	C 	F 
1019	00119733  	D 	E 
1020	00119757  	J 	E 
1021	00119924  	F 	E 
1022	00119979  	J 	C 
1023	00120005  	C 	E 
1024	00120111  	D 	C 
1025	00120258  	D 	E 
1026	00120319  	E 	E 
1027	00120494  	D 	C 
1028	00120586  	D 	C 
1029	00121026  	F 	F 
1030	00121118  	B 	E 
1031	00121156  	F 	E 
1032	00121354  	D 	E 
1033	00121460  	D 	E 
1034	00121514  	F 	E 
1035	00122764  	H 	F 
1036	00123075  	D 	C 
1037	00123143  	F 	E 
1038	00123167  	C 	F 
1039	00123808  	D 	B 
1040	00124058  	D 	F 
1041	00124164  	G 	D 
1042	00124218  	D 	F 
1043	00124515  	E 	C 
1044	00125192  	F 	F 
1045	00126076  	G 	D 
1046	00126502  	F 	F 
1047	00126663  	C 	F 
1048	00126809  	C 	E 
1049	00127028  	G 	F 
1050	00127233  	I 	A 
1051	00127332  	G 	C 
1052	00127677  	D 	F 
1053	00127936  	G 	D 
1054	00127967  	E 	G 
1055	00128087  	D 	F 
1056	00128469  	E 	E 
1057	00128506  	F 	F 
1058	00128513  	F 	E 
1059	00128537  	H 	B 
1060	00128575  	G 	F 
1061	00128582  	E 	F 
1062	00128612  	G 	H 
1063	00128797  	G 	E 
1064	00128902  	B 	D 
1065	00128971  	H 	E 
1066	00129145  	H 	D 
1067	00129183  	G 	E 
1068	00129473  	C 	G 
1069	00129732  	I 	F 
